#,Pattern,Time (msec),,,,Probability,Cumulative,
,,Absolute,vs. best,vs. mean,vs. median,,,
1,N1 S1 S2 S3,926566.6667,0,-13799.2269,-12800,1 / 64,0.015625,0.015625
2,N1 S4 S5 S6,929666.6667,3100,-10699.2269,-9700,1 / 16,0.078125,0.0625
3,N1 S1 S2 N3 S3,930633.3333,4066.666667,-9732.560237,-8733.333333,1 / 128,0.0859375,0.0078125
4,N1 S1 S2 N3 S7,930966.6667,4400,-9399.226904,-8400,1 / 64,0.1015625,0.015625
5,N1 S1 N2 N1 S1 S2,931566.6667,5000,-8799.226904,-7800,1 / 512,0.103515625,0.001953125
6,N1 N2 S1 S2 S3,931600,5033.333333,-8765.893571,-7766.666667,1 / 256,0.107421875,0.00390625
7,N1 S1 N2 S5 S4,931866.6667,5300,-8499.226904,-7500,1 / 128,0.115234375,0.0078125
8,N1 S8 N4 S2 S1,932000,5433.333333,-8365.893571,-7366.666667,1 / 64,0.130859375,0.015625
9,N1 S8 N4 S1 S2,932300,5733.333333,-8065.893571,-7066.666667,1 / 64,0.146484375,0.015625
10,N1 S4 S5 N2 S1,932833.3333,6266.666667,-7532.560237,-6533.333333,1 / 64,0.162109375,0.015625
11,N1 S1 N2 S5 S6,932966.6667,6400,-7399.226904,-6400,1 / 256,0.166015625,0.00390625
12,N1 S1 S2 N4 S8,933433.3333,6866.666667,-6932.560237,-5933.333333,1 / 256,0.169921875,0.00390625
13,N1 S4 S5 N5 S7,933566.6667,7000,-6799.226904,-5800,1 / 32,0.201171875,0.03125
14,N1 S1 S2 N3 N5 S5,933900,7333.333333,-6465.893571,-5466.666667,1 / 512,0.203125,0.001953125
15,N1 S1 S2 N3 N5 S7,934366.6667,7800,-5999.226904,-5000,1 / 512,0.205078125,0.001953125
16,N1 N2 S5 S6 S7,934933.3333,8366.666667,-5432.560237,-4433.333333,1 / 32,0.236328125,0.03125
17,N1 N2 S1 N1 S4 S5,935133.3333,8566.666667,-5232.560237,-4233.333333,1 / 128,0.244140625,0.0078125
18,N1 S1 N2 N1 S4 S5,935133.3333,8566.666667,-5232.560237,-4233.333333,1 / 64,0.259765625,0.015625
19,N1 S1 N4 S2 S1,935200,8633.333333,-5165.893571,-4166.666667,1 / 128,0.267578125,0.0078125
20,N1 S1 S2 N4 S1,935400,8833.333333,-4965.893571,-3966.666667,1 / 256,0.271484375,0.00390625
21,N1 N2 S1 S2 N3 S3,935666.6667,9100,-4699.226904,-3700,1 / 512,0.2734375,0.001953125
22,N1 S8 N4 S1 N1 S8,935766.6667,9200,-4599.226904,-3600,1 / 128,0.28125,0.0078125
23,N1 N2 S5 S4 N1 S8,935833.3333,9266.666667,-4532.560237,-3533.333333,1 / 64,0.296875,0.015625
24,N1 S8 N4 S2 S3,935933.3333,9366.666667,-4432.560237,-3433.333333,1 / 64,0.3125,0.015625
