#,Pattern,Time (seconds),,,,Probability,Cumulative probability,Node map
,,Absolute,vs. best,vs. mean,vs. median,,,
1,N1 S1 S2 S3,24407,0,-14343,-13509,1 / 64,0.015625,0.015625 
2,N1 S4 S5 S6,27874,3467,-10876,-10042,1ŒŽ16“ú,0.078125,0.062500 
3,N1 S1 S2 N3 S7,28745,4338,-10005,-9171,1 / 64,0.09375,0.015625 
4,N1 S1 S2 N3 S3,28762,4355,-9988,-9154,1 / 128,0.101563,0.007813 
5,N1 N2 S1 S2 S3,29661,5254,-9089,-8255,1 / 256,0.105469,0.003906 
6,N1 S1 N2 N1 S1 S2,30013,5606,-8737,-7903,1 / 512,0.107422,0.001953 
7,N1 S1 N2 S5 S4,30293,5886,-8457,-7623,1 / 128,0.115234,0.007813 
8,N1 S8 N4 S2 S1,30598,6191,-8152,-7318,1 / 64,0.130859,0.015625 
9,N1 S1 N2 S5 S6,30910,6503,-7840,-7006,1 / 256,0.134766,0.003906 
10,N1 S4 S5 N2 S1,31227,6820,-7523,-6689,1 / 64,0.150391,0.015625 
11,N1 S8 N4 S1 S2,31232,6825,-7518,-6684,1 / 64,0.166016,0.015625 
12,N1 S1 S2 N4 S8,31516,7109,-7234,-6400,1 / 256,0.169922,0.003906 
13,N1 S1 S2 N3 N5 S5,31655,7248,-7095,-6261,1 / 512,0.171875,0.001953 
14,N1 S4 S5 N5 S7,31801,7394,-6949,-6115,1 / 32,0.203125,0.031250 
15,N1 S1 S2 N3 N5 S7,32332,7925,-6418,-5584,1 / 512,0.205078,0.001953 
16,N1 N2 S5 S6 S7,33195,8788,-5555,-4721,1 / 32,0.236328,0.031250 
17,N1 S1 N4 S2 S1,33301,8894,-5449,-4615,1 / 128,0.248047,0.007813 
17,N1 S1 S2 N4 S1,33301,8894,-5449,-4615,1 / 256,0.248047,0.003906 
19,N1 N2 S1 N1 S4 S5,33833,9426,-4917,-4083,1 / 128,0.271484,0.007813 
19,N1 S1 N2 N1 S4 S5,33833,9426,-4917,-4083,1 / 64,0.271484,0.015625 
21,N1 N2 S1 S2 N3 S7,33999,9592,-4751,-3917,1 / 256,0.275391,0.003906 
22,N1 N2 S1 S2 N3 S3,34016,9609,-4734,-3900,1 / 512,0.277344,0.001953 
23,N1 S1 N2 N5 S7 S6,34163,9756,-4587,-3753,1 / 512,0.279297,0.001953 
24,N1 S8 N4 S2 S3,34334,9927,-4416,-3582,1 / 64,0.294922,0.015625 
25,N1 S1 N2 N5 S5 S4,34337,9930,-4413,-3579,1 / 512,0.296875,0.001953 
26,N1 N2 S5 S4 N1 S8,34563,10156,-4187,-3353,1 / 64,0.320313,0.015625 
26,N1 S4 S5 N2 N1 S8,34563,10156,-4187,-3353,1 / 128,0.320313,0.007813 
28,N1 S8 N4 S1 N1 S8,34685,10278,-4065,-3231,1 / 128,0.328125,0.007813 
29,N1 S1 N2 S5 N5 S7,34837,10430,-3913,-3079,1 / 1024,0.329102,0.000977 
30,N1 S1 N2 N5 S5 S6,34954,10547,-3796,-2962,1 / 1024,0.330078,0.000977 
31,N1 N2 S1 N1 N2 S1 S2,35267,10860,-3483,-2649,1 / 4096,0.330322,0.000244 
32,N1 S4 S5 N5 N2 S1,35271,10864,-3479,-2645,1 / 64,0.345947,0.015625 
33,N1 S4 S5 N5 N3 S2,35355,10948,-3395,-2561,1 / 128,0.35376,0.007813 
34,N1 N2 S5 S4 N1 S1,35515,11108,-3235,-2401,1 / 32,0.392822,0.031250 
34,N1 S4 S5 N2 N1 S1,35515,11108,-3235,-2401,1 / 128,0.392822,0.007813 
36,N1 S1 N4 S8 N1 S1,35637,11230,-3113,-2279,1 / 128,0.400635,0.007813 
37,N1 S1 N2 N5 N3 S2 S1,35802,11395,-2948,-2114,1 / 1024,0.402588,0.000977 
37,N1 S1 S2 N3 N5 N2 S1,35802,11395,-2948,-2114,1 / 1024,0.402588,0.000977 
39,N1 S1 S2 N4 N6 S3,36303,11896,-2447,-1613,1 / 128,0.4104,0.007813 
40,N1 S4 S5 N2 N1 S4,36399,11992,-2351,-1517,1 / 64,0.426025,0.015625 
41,N1 S1 N4 S8 N1 S4,36521,12114,-2229,-1395,1 / 64,0.457275,0.015625 
41,N1 S8 N4 S1 N1 S4,36521,12114,-2229,-1395,1 / 64,0.457275,0.015625 
43,N1 S4 S5 N2 N5 S5,36756,12349,-1994,-1160,1 / 256,0.476807,0.003906 
43,N1 S4 S5 N5 N2 S5,36756,12349,-1994,-1160,1 / 64,0.476807,0.015625 
45,N1 N2 S1 S2 N4 S8,36770,12363,-1980,-1146,1 / 1024,0.477783,0.000977 
46,N1 S1 N2 N1 S1 N2 S5,36869,12462,-1881,-1047,1 / 2048,0.478271,0.000488 
47,N1 N2 S1 S2 N3 N5 S5,36909,12502,-1841,-1007,1 / 2048,0.47876,0.000488 
48,N1 N2 S5 N5 S7 S6,36952,12545,-1798,-964,1 / 256,0.482666,0.003906 
49,N1 S1 N4 S2 S3,37037,12630,-1713,-879,1 / 128,0.490479,0.007813 
50,N1 N2 N5 S5 S6 S7,37239,12832,-1511,-677,1 / 256,0.494385,0.003906 
51,N1 S1 S2 N3 N5 N2 S5,37287,12880,-1463,-629,1 / 1024,0.495361,0.000977 
52,N1 S4 S5 N2 N5 S7,37433,13026,-1317,-483,1 / 256,0.499268,0.003906 
53,N1 N2 S1 S2 N3 N5 S7,37586,13179,-1164,-330,1 / 2048,0.499756,0.000488 
54,N1 N2 N5 S7 S6 S5,37916,13509,-834,0,1 / 128,0.507568,0.007813 
55,N1 S8 N4 N6 S3 S2,37921,13514,-829,5,1 / 32,0.538818,0.031250 
56,N1 S8 N4 S1 N2 S5,38088,13681,-662,172,1 / 256,0.542725,0.003906 
57,N1 N2 N5 S5 N2 S1 S2,38190,13783,-560,274,1 / 4096,0.543945,0.000244 
