#,Pattern,,Time (seconds),,,,Probability,Cumulative probability,Node map
,,,Absolute,vs. best,vs. mean,vs. median,,,
1,[1] N1 S1 S2 S3,0,24.407,0,-18.843,-17.832,0.001000 ,0.001000 ,
2,[1] N1 S1 S2 S3,1,26.907,2.5,-16.343,-15.332,0.004500 ,0.005500 ,
3,[2] N1 S4 S5 S6,0,27.874,3.467,-15.376,-14.365,0.004000 ,0.009500 ,
4,[3] N1 S1 S2 N3 S7,0,28.745,4.338,-14.505,-13.494,0.001000 ,0.010500 ,
5,[4] N1 S1 S2 N3 S3,0,28.762,4.355,-14.488,-13.477,0.000500 ,0.011000 ,
6,[1] N1 S1 S2 S3,2,29.407,5,-13.843,-12.832,0.006750 ,0.017750 ,
7,[5] N1 N2 S1 S2 S3,0,29.661,5.254,-13.589,-12.578,0.000250 ,0.018000 ,
8,[6] N1 S1 N2 N1 S1 S2,0,30.013,5.606,-13.237,-12.226,0.000125 ,0.018125 ,
9,[7] N1 S1 N2 S5 S4,0,30.293,5.886,-12.957,-11.946,0.000500 ,0.018625 ,
10,[2] N1 S4 S5 S6,1,30.374,5.967,-12.876,-11.865,0.018000 ,0.036625 ,
11,[8] N1 S8 N4 S2 S1,0,30.598,6.191,-12.652,-11.641,0.001000 ,0.037625 ,
12,[9] N1 S1 N2 S5 S6,0,30.91,6.503,-12.34,-11.329,0.000250 ,0.037875 ,
13,[10] N1 S4 S5 N2 S1,0,31.227,6.82,-12.023,-11.012,0.001000 ,0.038875 ,
14,[11] N1 S8 N4 S1 S2,0,31.232,6.825,-12.018,-11.007,0.001000 ,0.039875 ,
15,[3] N1 S1 S2 N3 S7,1,31.245,6.838,-12.005,-10.994,0.004500 ,0.044375 ,
16,[4] N1 S1 S2 N3 S3,1,31.262,6.855,-11.988,-10.977,0.002250 ,0.046625 ,
17,[12] N1 S1 S2 N4 S8,0,31.516,7.109,-11.734,-10.723,0.000250 ,0.046875 ,
18,[13] N1 S1 S2 N3 N5 S5,0,31.655,7.248,-11.595,-10.584,0.000125 ,0.047000 ,
19,[14] N1 S4 S5 N5 S7,0,31.801,7.394,-11.449,-10.438,0.002000 ,0.049000 ,
20,[1] N1 S1 S2 S3,3,31.907,7.5,-11.343,-10.332,0.003375 ,0.052375 ,
21,[5] N1 N2 S1 S2 S3,1,32.161,7.754,-11.089,-10.078,0.001125 ,0.053500 ,
22,[15] N1 S1 S2 N3 N5 S7,0,32.332,7.925,-10.918,-9.907,0.000125 ,0.053625 ,
23,[6] N1 S1 N2 N1 S1 S2,1,32.513,8.106,-10.737,-9.726,0.000563 ,0.054188 ,
24,[7] N1 S1 N2 S5 S4,1,32.793,8.386,-10.457,-9.446,0.002250 ,0.056438 ,
25,[2] N1 S4 S5 S6,2,32.874,8.467,-10.376,-9.365,0.027000 ,0.083438 ,
26,[8] N1 S8 N4 S2 S1,1,33.098,8.691,-10.152,-9.141,0.004500 ,0.087938 ,
27,[16] N1 N2 S5 S6 S7,0,33.195,8.788,-10.055,-9.044,0.002000 ,0.089938 ,
28,[17] N1 S1 N4 S2 S1,0,33.301,8.894,-9.949,-8.938,0.000500 ,0.090688 ,
28,[17] N1 S1 S2 N4 S1,0,33.301,8.894,-9.949,-8.938,0.000250 ,0.090688 ,
30,[9] N1 S1 N2 S5 S6,1,33.41,9.003,-9.84,-8.829,0.001125 ,0.091813 ,
31,[10] N1 S4 S5 N2 S1,1,33.727,9.32,-9.523,-8.512,0.004500 ,0.096313 ,
32,[11] N1 S8 N4 S1 S2,1,33.732,9.325,-9.518,-8.507,0.004500 ,0.100813 ,
33,[3] N1 S1 S2 N3 S7,2,33.745,9.338,-9.505,-8.494,0.006750 ,0.107563 ,
34,[4] N1 S1 S2 N3 S3,2,33.762,9.355,-9.488,-8.477,0.003375 ,0.110938 ,
35,[19] N1 N2 S1 N1 S4 S5,0,33.833,9.426,-9.417,-8.406,0.000500 ,0.112438 ,
35,[19] N1 S1 N2 N1 S4 S5,0,33.833,9.426,-9.417,-8.406,0.001000 ,0.112438 ,
37,[21] N1 N2 S1 S2 N3 S7,0,33.999,9.592,-9.251,-8.24,0.000250 ,0.112688 ,
38,[22] N1 N2 S1 S2 N3 S3,0,34.016,9.609,-9.234,-8.223,0.000125 ,0.113938 ,
38,[12] N1 S1 S2 N4 S8,1,34.016,9.609,-9.234,-8.223,0.001125 ,0.113938 ,
40,[13] N1 S1 S2 N3 N5 S5,1,34.155,9.748,-9.095,-8.084,0.000563 ,0.114500 ,
41,[23] N1 S1 N2 N5 S7 S6,0,34.163,9.756,-9.087,-8.076,0.000125 ,0.114625 ,
42,[14] N1 S4 S5 N5 S7,1,34.301,9.894,-8.949,-7.938,0.009000 ,0.123625 ,
43,[24] N1 S8 N4 S2 S3,0,34.334,9.927,-8.916,-7.905,0.001000 ,0.124625 ,
44,[25] N1 S1 N2 N5 S5 S4,0,34.337,9.93,-8.913,-7.902,0.000125 ,0.124750 ,
45,[26] N1 N2 S5 S4 N1 S8,0,34.563,10.156,-8.687,-7.676,0.001000 ,0.126250 ,
45,[26] N1 S4 S5 N2 N1 S8,0,34.563,10.156,-8.687,-7.676,0.000500 ,0.126250 ,
47,[5] N1 N2 S1 S2 S3,2,34.661,10.254,-8.589,-7.578,0.001688 ,0.127938 ,
48,[28] N1 S8 N4 S1 N1 S8,0,34.685,10.278,-8.565,-7.554,0.000500 ,0.128438 ,
49,[15] N1 S1 S2 N3 N5 S7,1,34.832,10.425,-8.418,-7.407,0.000563 ,0.129000 ,
50,[29] N1 S1 N2 S5 N5 S7,0,34.837,10.43,-8.413,-7.402,0.000063 ,0.129063 ,
51,[30] N1 S1 N2 N5 S5 S6,0,34.954,10.547,-8.296,-7.285,0.000063 ,0.129125 ,
52,[6] N1 S1 N2 N1 S1 S2,2,35.013,10.606,-8.237,-7.226,0.000844 ,0.129969 ,
53,[31] N1 N2 S1 N1 N2 S1 S2,0,35.267,10.86,-7.983,-6.972,0.000016 ,0.129984 ,
54,[32] N1 S4 S5 N5 N2 S1,0,35.271,10.864,-7.979,-6.968,0.001000 ,0.130984 ,
55,[7] N1 S1 N2 S5 S4,2,35.293,10.886,-7.957,-6.946,0.003375 ,0.134359 ,
56,[33] N1 S4 S5 N5 N3 S2,0,35.355,10.948,-7.895,-6.884,0.000500 ,0.134859 ,
57,[2] N1 S4 S5 S6,3,35.374,10.967,-7.876,-6.865,0.013500 ,0.148359 ,
58,[34] N1 N2 S5 S4 N1 S1,0,35.515,11.108,-7.735,-6.724,0.002000 ,0.150859 ,
58,[34] N1 S4 S5 N2 N1 S1,0,35.515,11.108,-7.735,-6.724,0.000500 ,0.150859 ,
60,[8] N1 S8 N4 S2 S1,2,35.598,11.191,-7.652,-6.641,0.006750 ,0.157609 ,
61,[36] N1 S1 N4 S8 N1 S1,0,35.637,11.23,-7.613,-6.602,0.000500 ,0.158109 ,
62,[16] N1 N2 S5 S6 S7,1,35.695,11.288,-7.555,-6.544,0.009000 ,0.167109 ,
63,[17] N1 S1 N4 S2 S1,1,35.801,11.394,-7.449,-6.438,0.002250 ,0.170484 ,
63,[17] N1 S1 S2 N4 S1,1,35.801,11.394,-7.449,-6.438,0.001125 ,0.170484 ,
65,[37] N1 S1 N2 N5 N3 S2 S1,0,35.802,11.395,-7.448,-6.437,0.000063 ,0.170609 ,
65,[37] N1 S1 S2 N3 N5 N2 S1,0,35.802,11.395,-7.448,-6.437,0.000063 ,0.170609 ,
67,[9] N1 S1 N2 S5 S6,2,35.91,11.503,-7.34,-6.329,0.001688 ,0.172297 ,
